atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,contributes_to
1291,Uninformative,0,,41,0.0051247757910591,
1292,Uninformative,0,,63156,7.8941546307349055,
1293,Uninformative,0,,3983,0.4978532189216721,
1294,Uninformative,0,,18663,2.332772941183823,
1295,Uninformative,0,,9705,1.2130719281031457,
1296,Uninformative,0,,30513,3.813958139331404,
1297,Uninformative,0,,6472,0.8089646077984088,
1298,Uninformative,0,,12776,1.596930134306624,
1299,Uninformative,0,,6,0.0007499671889354,
1300,Uninformative,0,,22519,2.814751854606361,
1301,Uninformative,0,,44521,5.5648815364327815,
1302,Uninformative,0,,10672,1.3339416400532478,
1303,Uninformative,0,,6044,0.7554669483210109,
1304,Uninformative,0,,7,0.0008749617204247,
1305,Uninformative,0,,6,0.0007499671889354,
1306,Uninformative,0,,132,0.0164992781565806,
1307,Uninformative,0,,69301,8.66224602673633,
1308,Uninformative,0,,10642,1.3301918041085703,
1309,Uninformative,0,,35,0.0043748086021236,
1310,Uninformative,0,,1,0.0001249945314892,
1311,Separable,1,TXT:Atrial flutter with uncontrolled ventric,27388,3.4233502284275064,
1312,Uninformative,0,,5703,0.7128438130831776,
1313,Uninformative,0,,2506,0.3132362959120539,
1314,Uninformative,0,,23425,2.927996900135619,
1315,Uninformative,0,,22373,2.7965026530089307,
1316,Uninformative,0,,43712,5.46376096045798,
1317,Uninformative,0,,175,0.0218740430106182,
1318,Uninformative,0,,28270,3.5335954052010226,
1319,Uninformative,0,,24709,3.0884898785678128,
1320,Uninformative,0,,20732,2.591386626835076,
1321,Separable,1,TXT:Probable junctional rhythm,100926,12.615198085083778,
1322,Uninformative,0,,18704,2.3378977169748825,
1323,Uninformative,0,,40431,5.053653902641759,
1324,Uninformative,0,,13,0.0016249289093602,
1325,Uninformative,0,,60886,7.610417044254314,
1326,Uninformative,0,,1,0.0001249945314892,
1327,Uninformative,0,,177,0.0221240320735967,
1328,Uninformative,0,,20792,2.5988862987244308,
1329,Uninformative,0,,11358,1.4196878886548714,
1330,Uninformative,0,,5927,0.7408425881367691,
1331,Uninformative,0,,10,0.0012499453148924,
1332,Uninformative,0,,8,0.0009999562519139,
1333,Uninformative,0,,2,0.0002499890629784,
1334,Uninformative,0,,83,0.0103745461136075,
1335,Uninformative,0,,46290,5.785996862637259,
1336,Uninformative,0,,15627,1.953289543582468,
1337,Uninformative,0,,9,0.0011249507834032,
1338,Uninformative,0,,12,0.0014999343778709,
1339,Uninformative,0,,30147,3.76821014080634,
1340,Uninformative,0,,69184,8.647621666552089,
1341,Uninformative,0,,35211,4.401182448267888,
1342,Uninformative,0,,3,0.0003749835944677,
1343,Uninformative,0,,21728,2.7158811801983664,
1344,Separable,1,TXT:Probable supraventricular tachycardia,37789,4.723418350447168,
1345,Uninformative,0,,8259,1.032329835569694,
1346,Uninformative,0,,31,0.0038748304761666,
1347,Uninformative,0,,1,0.0001249945314892,
1348,Uninformative,0,,9,0.0011249507834032,
1349,Uninformative,0,,15974,1.9966626460092367,
1350,Separable,1,TXT:RBBB and LAFB,11663,1.457811220759092,
1351,Uninformative,0,,1869,0.2336147793534033,
1352,Dead,0,,0,0.0,
1353,Entangled,2,TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,2620,0.327485672501828,
1354,Contributing,0,,87003,10.874899223158987,TXT:Tall T waves - consider acute ischemia o
1355,Uninformative,0,,224,0.0279987750535914,
1356,Uninformative,0,,1439,0.1798671308130269,
1357,Uninformative,0,,654,0.0817464235939677,
1358,Uninformative,0,,30048,3.755835682188904,
1359,Uninformative,0,,2219,0.2773628653746398,
1360,Uninformative,0,,27,0.0033748523502096,
1361,Uninformative,0,,15,0.0018749179723387,
1362,Uninformative,0,,34397,4.299436899635641,
1363,Uninformative,0,,1,0.0001249945314892,
1364,Uninformative,0,,17807,2.2257776222290278,
1365,Uninformative,0,,37544,4.692794690232303,
1366,Uninformative,0,,6476,0.8094645859243658,
1367,Separable,1,TXT:Probable supraventricular tachycardia,14763,1.8452942683757585,
1368,Uninformative,0,,17,0.0021249070353172,
1369,Uninformative,0,,12,0.0014999343778709,
1370,Uninformative,0,,26,0.0032498578187204,
1371,Uninformative,0,,57340,7.167186435593443,
1372,Uninformative,0,,30369,3.7959589267969527,
1373,Uninformative,0,,67596,8.449130350547163,
1374,Uninformative,0,,21483,2.6852575199835007,
1375,Uninformative,0,,43866,5.483010118307324,
1376,Uninformative,0,,36376,4.546801077452861,
1377,Uninformative,0,,24149,3.018492940933834,
1378,Separable,1,TXT:RBBB and LAFB,9012,1.1264507177810972,
1379,Uninformative,0,,17141,2.1425312642571885,
1380,Uninformative,0,,1653,0.2066159605517258,
1381,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,6308,0.7884655046341723,
1382,Uninformative,0,,6879,0.8598373821145325,
1383,Uninformative,0,,23226,2.903122988369258,
1384,Dead,0,,0,0.0,
1385,Uninformative,0,,17,0.0021249070353172,
1386,Uninformative,0,,9,0.0011249507834032,
1387,Uninformative,0,,8759,1.0948271013143176,
1388,Uninformative,0,,5,0.0006249726574462,
1389,Uninformative,0,,5495,0.6868449505334142,
1390,Uninformative,0,,4,0.0004999781259569,
1391,Uninformative,0,,7749,0.9685826245101776,
1392,Separable,1,TXT:Incomplete RBBB,30384,3.797833844769291,
1393,Uninformative,0,,24356,3.0443668089521085,
1394,Uninformative,0,,23093,2.886498715681189,
