atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,category_grouped,n_enriched_groups,enriched_groups,entangled_subtype
747,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,12728,1.5909303967951405,Separable,1,pvc,
748,Uninformative,0,,10340,1.2924434555988176,Uninformative,0,,
749,Uninformative,0,,23,0.0028748742242526,Uninformative,0,,
750,Separable,1,TXT:Probable supraventricular tachycardia,6696,0.8369633828520002,Separable,1,tachycardia,
751,Separable,1,TXT:Atrial flutter with 4:1 A-V block,35978,4.497053253920141,Separable,1,atrial_flutter,
752,Dead,0,,0,0.0,Dead,0,,
753,Uninformative,0,,8016,1.0019561644178068,Uninformative,0,,
754,Uninformative,0,,16353,2.044035573443662,Uninformative,0,,
755,Uninformative,0,,6,0.0007499671889354,Uninformative,0,,
756,Uninformative,0,,63676,7.959151787109314,Uninformative,0,,
757,Entangled,4,TXT:Atrial flutter with rapid ventricular re; TXT:Atrial flutter; TXT:Atrial flutter with 4:1 A-V block; TXT:Atrial flutter with uncontrolled ventric,32793,4.098945671126888,Separable,1,atrial_flutter,
758,Uninformative,0,,730,0.0912460079871505,Uninformative,0,,
759,Uninformative,0,,751,0.0938708931484247,Uninformative,0,,
760,Uninformative,0,,14078,1.759673014305624,Uninformative,0,,
761,Separable,1,TXT:Atrial-sensed ventricular-paced rhythm,14153,1.7690476041673178,Separable,1,pacing,
762,Uninformative,0,,7,0.0008749617204247,Uninformative,0,,
763,Uninformative,0,,4631,0.5788496753267045,Uninformative,0,,
764,Uninformative,0,,8,0.0009999562519139,Uninformative,0,,
765,Uninformative,0,,12262,1.532682945121151,Uninformative,0,,
766,Uninformative,0,,67141,8.392257838719557,Uninformative,0,,
767,Uninformative,0,,33023,4.127694413369415,Uninformative,0,,
768,Entangled,2,TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,6949,0.8685869993187798,Entangled,2,atrial_flutter; tachycardia,Related
769,Uninformative,0,,59904,7.487672414331873,Uninformative,0,,
770,Uninformative,0,,29687,3.7107126563212858,Uninformative,0,,
771,Uninformative,0,,1340,0.1674926721955914,Uninformative,0,,
772,Uninformative,0,,438,0.0547476047922903,Uninformative,0,,
773,Uninformative,0,,1603,0.2003662339772635,Uninformative,0,,
774,Uninformative,0,,24329,3.0409919566018986,Uninformative,0,,
775,Uninformative,0,,33245,4.155443199360028,Uninformative,0,,
776,Uninformative,0,,23553,2.9439962001662425,Uninformative,0,,
777,Uninformative,0,,36690,4.5860493603404855,Uninformative,0,,
778,Uninformative,0,,8,0.0009999562519139,Uninformative,0,,
779,Uninformative,0,,6,0.0007499671889354,Uninformative,0,,
780,Uninformative,0,,50,0.0062497265744623,Uninformative,0,,
