feature,rank,atom_id,spearman_r,abs_r,n_records
left_axis,5,1417,0.4008077094545923,0.4008077094545923,2655
left_axis,6,1069,0.39535510545556524,0.39535510545556524,6769
left_axis,7,995,0.3753383338013232,0.3753383338013232,7050
left_axis,8,516,-0.3746126412823305,0.3746126412823305,814
left_axis,9,790,-0.3734395141211903,0.3734395141211903,31
left_axis,10,1391,0.373372891058042,0.373372891058042,7749
right_axis,1,1317,0.6351113886346957,0.6351113886346957,175
right_axis,2,839,0.5863121311984024,0.5863121311984024,823
right_axis,3,125,0.5725956015637722,0.5725956015637722,1866
right_axis,4,668,0.5649294415517395,0.5649294415517395,522
right_axis,5,1468,0.5536869454554515,0.5536869454554515,1246
right_axis,6,1110,0.5446809315568946,0.5446809315568946,1720
right_axis,7,322,0.5296424467337196,0.5296424467337196,57312
right_axis,8,1357,0.509668619033294,0.509668619033294,654
right_axis,9,516,0.4951409786802408,0.4951409786802408,814
right_axis,10,876,0.47163115711976583,0.47163115711976583,2768
st_elevation,1,494,-0.3467797095894196,0.3467797095894196,33
st_elevation,2,625,0.3349320635285419,0.3349320635285419,41
st_elevation,3,304,0.2886751345948129,0.2886751345948129,35
st_elevation,4,780,-0.28097085494191665,0.28097085494191665,50
st_elevation,5,807,0.27847899646218965,0.27847899646218965,33
st_elevation,6,866,0.2721765724306311,0.2721765724306311,43
st_elevation,7,790,0.25819888974716115,0.25819888974716115,31
st_elevation,8,1291,-0.2520137584978835,0.2520137584978835,41
st_elevation,9,228,0.24923945235849398,0.24923945235849398,30
st_elevation,10,605,0.24736630372206167,0.24736630372206167,38
st_depression,1,1433,0.289631335424705,0.289631335424705,30
st_depression,2,430,0.25525485060952297,0.25525485060952297,44
st_depression,3,98,0.2469874419614638,0.2469874419614638,92
st_depression,4,735,0.23062002421270153,0.23062002421270153,39
st_depression,5,829,0.22379359367209956,0.22379359367209956,112
st_depression,6,1334,0.21980880721787713,0.21980880721787713,83
st_depression,7,1051,0.19153848665455908,0.19153848665455908,81
st_depression,8,853,-0.18904109589041096,0.18904109589041096,74
st_depression,9,133,-0.18681701788194405,0.18681701788194405,57
st_depression,10,957,0.18009813089593263,0.18009813089593263,2231
