atom_id,heart_rate,pr_interval,qrs_duration,qt_interval,qtc,p_axis,qrs_axis,t_axis,tachycardia,bradycardia,wide_qrs,long_qt,left_axis,right_axis,st_elevation,st_depression
37,-0.16006414950482004,0.050633831824864355,0.21189005019561183,0.2050645264441446,0.08829368637076576,-0.01840726321908772,-0.149278365083454,0.08945465764608249,-0.05517829860945906,0.1225660448116152,0.18035864512403912,0.07072859368820651,0.12528642383573474,-0.009488171680114421,-0.011737413661169255,-0.003098817758892875
38,,,,,,,,,,,,,,,,
39,0.09707569827853632,0.002190706711950442,-0.03626731976592516,-0.08489034915731143,0.01666163124828265,-0.01383956562830593,0.0659829048032755,6.0650776387186546e-05,-0.09867760723537165,-0.09548066143329483,-0.04215664419837821,-0.00650867053484295,-0.073337763525397,-0.02360136143792698,-0.018872447318568894,-0.012167328108344588
40,,,,,,,,,,,,,,,,
41,0.07472606597599271,-0.16367702761572694,0.21338423727034983,0.12255346436001682,0.22032631445791892,0.17256368387567533,-0.27624815571485944,0.07363064718669408,-0.07453497949959874,-0.07462208889980562,0.229116797219129,0.20221144332731167,0.25301512943285637,0.024548685469368108,0.0006363781388631022,0.008777982110184572
42,0.4787945048102803,-0.33751612417132243,0.003945919264139854,-0.37790851345617293,0.1422971426081159,0.18838927159898838,-0.0392354216654905,0.003402996946449602,0.4248922875152751,-0.08929594825140152,0.04050957938667751,0.12239240361851456,0.04213515669793718,0.0190945133780401,-0.007947781216551427,0.046716681534732074
43,,,,,,,,,,,,,,,,
44,-0.07693749406450465,0.34102484283868306,-0.04724547244537557,0.02232558220359144,-0.06402163205748429,-0.07061631177302628,-0.06426971203339532,0.004985105546154067,-0.10558784317536411,-0.04008317085979919,-0.08826225955839034,-0.06725520283052798,0.010790686414521052,-0.026028596058810964,-0.02341223999890677,-0.015545320021604487
45,,,,,,,,,,,,,,,,
46,0.13239440807975544,0.05759192840431248,0.2382030411698657,0.01511247612998991,0.20370656695628833,0.0033834638486966687,-0.10643380327575452,0.08412954401735609,-0.0023004441456056395,-0.1322149257735566,0.20192223812852486,0.17566852582638465,0.10289019315731106,0.02285663270652048,0.010818098673019359,-0.012919669376165876
